Ecological Site Name,Ecological Site ID,Forb,Grass,Shrub,Tree,Total,Artemisia tridentata (includes ssp. wyomingensis),Artemisia tridentata ssp. vaseyana ,Artemisia tridentata ssp. tridentata ,Coleogyne ramosissima,Quercus gambelii,Pinus edulis and Pinus monophyla,Juniperus spp.*,Populus tremuloides,Pinus ponderosa,Sarcobatus vermiculatus,Atriplex spp.**,Atriplex confertifolia,Sporobolus airoides,C3 Perennial Grasses,C4 Perennial Grasses,Strawman Soil Geomorphic Unit,Final Soil Geomorphic Unit,Climate Zone,Ecological Site Group
"Shallow Loam 10-14\ p.z. Cobbly (JUOS)""",F035XA121AZ,40,145,80,20,285,0,0,0,0,0,14,14,0,0,0,0,0,0,32,170,Shallow,DeepRocky,Arid_Warm,Arid_Warm_DeepRocky
"Limy Upland 10-14\ p.z. Gravelly (JUOS)""",F035XA122AZ,19,243,94,19,375,0,0,0,0,0,3,8,0,0,0,0,0,0,22,153,DeepRocky,DeepRocky,Arid_Warm,Arid_Warm_DeepRocky
"Sandy Loam Upland 10-14\ p.z. Gravelly (JUOS, PIMO)""",F035XA126AZ,17,210,105,18,350,0,0,0,0,0,0,18,0,0,0,0,0,0,6,174,DeepRocky,DeepRocky,Arid_Warm,Arid_Warm_DeepRocky
"Shallow Limy Upland 10-14\ p.z. (JUOS)""",F035XA127AZ,18,228,88,18,350,0,0,0,0,0,9,9,0,0,0,0,0,0,21,153,Shallow,DeepRocky,Arid_Warm,Arid_Warm_DeepRocky
"Sandstone Upland 10-14\ p.z.  (JUOS)""",F035XC322AZ,20,240,120,20,400,8,0,0,0,0,3,15,0,0,0,0,0,0,140,60,Shallow,VeryShallow,Arid_Warm,Arid_Warm_VeryShallow
"Clay Loam Upland 13-17\ p.z. (PIED, JUOS) """,F035XF602AZ,50,225,175,275,725,70,0,0,0,18,105,105,0,0,0,0,0,0,207,42,FinerUplands,SalineUplands,Semiarid_Warm,Semiarid_Warm_SalineUplands
"Limestone Hills 13-17\ p.z. (PIED, JUOS)""",F035XF613AZ,20,160,160,20,360,70,0,0,0,0,0,0,0,0,0,0,0,0,110,83,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
"Limestone Upland 13-17\ p.z. (JUOS, PIED)""",F035XF619AZ,20,135,270,25,450,14,0,0,0,0,15,15,0,0,0,0,0,0,111,115,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
"Loamy Upland (PIED, JUOS)  13-17\ p.z. (Provisional)""",F035XF625AZ,60,278,168,58,563,83,0,0,0,6,28,14,0,0,0,0,0,0,267,109,FinerUplands,FinerUplands,Semiarid_Warm,Semiarid_Warm_FinerUplands
"Sandstone Upland (JUOS, PIED)  13-17\ p.z. (Provisional)""",F035XF627AZ,14,12,502,211,738,100,0,0,0,60,275,275,0,0,0,0,0,0,13,15,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
"Sandy Loam Upland (JUOS, PIED) 13-17\ p.z.""",F035XF628AZ,50,250,150,50,500,125,0,0,0,0,18,35,0,0,0,0,0,0,198,55,FinerUplands,LoamyUplands,Semiarid_Warm,Semiarid_Warm_SandyUplands_LoamyUplands
"Sandstone Hills 13-17\ p.z. (PIED)  """,F035XF629AZ,15,75,195,90,375,0,0,0,0,0,15,15,0,0,0,0,0,0,43,16,Shallow,VeryShallow,Semiarid_Warm,Semiarid_Warm_VeryShallow
"Clay Loam Upland 13-17\ p.z. (PIED)  """,F035XF630AZ,30,90,165,30,315,63,0,0,0,10,8,8,0,8,0,0,0,0,70,10,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
"Colluvial Slopes 13-17\ p.z. (PIED)""",F035XF633AZ,23,68,338,23,450,0,0,0,0,16,18,7,0,0,0,0,0,0,48,0,FinerUplands,ClayUplands,Semiarid_Warm,Semiarid_Warm_ClayUplands
Basalt Hills and Mesas 16-35 inches,F035XG006NM,23,388,23,0,433,0,0,0,0,0,0,0,0,0,0,0,0,0,80,283,VerticUplands,ClayUplands,Semiarid_Warm,Semiarid_Warm_ClayUplands
south of Gallup 13-16,F036XA001NM,15,273,163,150,600,45,0,0,0,45,90,105,0,0,0,0,0,0,120,135,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
NA,F036XA136NM,100,375,138,188,800,20,0,0,0,20,120,128,0,0,0,0,0,0,140,260,DeepRocky,FinerUplands,Semiarid_Warm,Semiarid_Warm_FinerUplands
Pinyon-Juniper/Skunkbush Sumac Shallow Sandy,F036XB133NM,28,363,190,320,900,23,0,0,0,23,148,90,0,0,0,0,0,0,208,355,Shallow,DeepRocky,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Loamy (Green River Basin),R034AB122WY,38,263,75,0,375,47,0,0,0,0,0,0,0,0,10,10,11,0,224,0,FinerUplands,FinerUplands,Semiarid_Warm,Semiarid_Warm_FinerUplands
"Loamy, Calcareous (Green River Basin)",R034AB126WY,35,210,105,0,350,61,0,0,0,0,0,0,0,0,10,10,10,0,214,0,FinerUplands,DeepRocky,Semiarid_Cool,Semiarid_Cool_DeepRocky
Loamy (Pinedale Plateau),R034AC122WY,70,385,245,0,700,158,105,0,0,0,0,0,0,0,17,4,17,0,571,0,FinerUplands,DeepRocky,Semiarid_Cool,Semiarid_Cool_DeepRocky
Loamy Argillic (Pinedale Plateau),R034AC124WY,43,168,215,0,425,0,0,0,0,0,0,0,0,0,0,16,0,0,348,0,FinerUplands,ClayUplands,Semiarid_Cool,Semiarid_Cool_ClayUplands
"Loamy, Calcareous (Pinedale Plateau)",R034AC126WY,55,330,165,0,550,100,0,0,0,0,0,0,0,0,13,3,13,0,302,0,FinerUplands,FinerUplands,Semiarid_Cool,Semiarid_Cool_SalineUplands_SandyUplands_LoamyUplands_FinerUplands
Sandy (Pinedale Plateau),R034AC150WY,80,453,267,0,800,160,107,0,0,0,0,0,0,0,20,4,20,0,512,0,FinerUplands,LoamyUplands,Semiarid_Cool,Semiarid_Cool_SalineUplands_SandyUplands_LoamyUplands_FinerUplands
Clayey (Green River - Great Divide Basins),R034AY104WY,68,315,68,0,450,46,0,0,0,0,0,0,0,0,0,12,12,0,328,0,VerticUplands,SalineUplands,Semiarid_Warm,Semiarid_Warm_SalineUplands
Gravelly  (Green River - Great Divide Basins),R034AY112WY,49,228,49,0,325,9,0,0,0,0,0,0,0,0,0,0,0,0,308,0,DeepRocky,DeepRocky,Semiarid_Cool,Semiarid_Cool_DeepRocky
Impervious Clay  (Green River - Great Divide Basins),R034AY118WY,19,188,169,0,375,0,0,0,0,0,0,0,0,0,0,9,0,0,237,0,SalineUplands,SalineHills,Semiarid_Warm,Semiarid_Warm_SalineHills
Loamy (Green River - Great Divide Basins),R034AY122WY,50,375,75,0,500,50,0,0,0,0,0,0,0,0,0,0,13,0,345,0,LoamyUplands,FinerUplands,Semiarid_Warm,Semiarid_Warm_FinerUplands
Saline Lowland (Green River - Great Divide Basins),R034AY138WY,140,840,420,0,1400,0,0,0,0,0,0,0,0,0,180,30,30,210,450,270,SalineBottoms,SalineBottoms,Semiarid_Cool,Semiarid_Cool_SalineBottoms
"Saline Lowland, Drained (Green River - Great Divide Basins)",R034AY140WY,65,390,195,0,650,0,0,0,0,0,0,0,0,0,105,70,0,18,333,53,SalineBottoms,SalineBottoms,Semiarid_Warm,Semiarid_Warm_SalineBottoms
Saline Subirrigated (Green River - Great Divide Basins),R034AY142WY,240,1920,240,0,2400,0,0,0,0,0,0,0,0,0,75,0,0,1000,125,1125,SalineBottoms,Bottoms,Semiarid_Cool,Semiarid_Cool_Bottoms
Saline Upland (Green River - Great Divide Basins),R034AY144WY,20,200,180,0,400,0,0,0,0,0,0,0,0,0,10,140,0,0,210,0,SalineUplands,SalineHills,Semiarid_Warm,Semiarid_Warm_SalineHills
Sands (Green River - Great Divide Basins),R034AY146WY,90,360,150,0,600,15,0,0,0,0,0,0,0,0,0,0,15,0,430,30,SandyUplands,SandyUplands,Semiarid_Warm,Semiarid_Warm_SandyUplands_LoamyUplands
Sandy (Green River - Great Divide Basins),R034AY150WY,55,385,110,0,550,42,0,0,0,0,0,0,0,0,0,0,14,0,456,14,LoamyUplands,LoamyUplands,Semiarid_Warm,Semiarid_Warm_SandyUplands_LoamyUplands
Shale (Green River - Great Divide Basins),R034AY154WY,23,124,79,0,225,0,0,0,0,0,0,0,0,0,0,35,0,15,135,15,SalineHills,SalineHills,Semiarid_Warm,Semiarid_Warm_SalineHills
Shallow Breaks (Green River - Great Divide Basins),R034AY156WY,85,340,43,383,850,20,0,0,0,0,0,280,0,0,0,0,0,0,560,0,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Shallow Clayey (Green River - Great Divide Basins),R034AY158WY,33,163,130,0,325,9,0,0,0,0,0,0,0,0,0,9,0,0,274,0,SalineUplands,ClayUplands,Semiarid_Warm,Semiarid_Warm_ClayUplands
Shallow Loamy (Green River - Great Divide Basins),R034AY162WY,33,228,65,0,325,9,0,0,0,0,0,0,0,0,0,0,0,0,308,0,Shallow,SalineUplands,Semiarid_Warm,Semiarid_Warm_SalineUplands
Shallow Sandy (Green River - Great Divide Basins),R034AY166WY,33,228,65,0,325,9,0,0,0,0,0,0,0,0,0,0,9,0,248,0,Shallow,LoamyUplands,Arid_Warm,Arid_Warm_SandyUplands_LoamyUplands
Very Shallow  (Green River - Great Divide Basins),R034AY176WY,30,195,75,0,300,8,0,0,0,0,0,17,0,0,0,0,0,0,308,0,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Clayey (Foothills And Basins West),R034AY204WY,150,750,100,0,1000,55,0,0,0,0,0,0,0,0,0,25,0,0,680,0,VerticUplands,FinerUplands,Semiarid_Cool,Semiarid_Cool_SalineUplands_SandyUplands_LoamyUplands_FinerUplands
Clayey Overflow (Foothills And Basins West),R034AY206WY,255,1190,255,0,1700,45,0,0,0,0,0,0,0,0,0,0,0,0,1053,0,Bottoms,Bottoms,Semiarid_Cool,Semiarid_Cool_Bottoms
Coarse Upland (Foothills And Basins West),R034AY208WY,100,600,300,0,1000,55,0,0,0,0,0,0,0,0,0,0,0,0,700,0,LoamyUplands,DeepRocky,Semiarid_Cool,Semiarid_Cool_DeepRocky
Dense Clay (Foothills And Basins West),R034AY210WY,73,508,145,0,725,0,0,0,0,0,0,0,0,0,0,0,0,0,471,0,VerticUplands,ClayUplands,Semiarid_Cool,Semiarid_Cool_ClayUplands
Gravelly (Foothills And Basins West),R034AY212WY,71,333,72,0,475,12,0,0,0,0,0,0,0,0,0,0,0,0,339,0,DeepRocky,SalineUplands,Semiarid_Cool,Semiarid_Cool_SalineUplands_SandyUplands_LoamyUplands_FinerUplands
Loamy (Foothills And Basins West),R034AY222WY,110,825,165,0,1100,165,0,0,0,0,0,0,0,0,0,0,0,0,660,0,LoamyUplands,FinerUplands,Semiarid_Cool,Semiarid_Cool_SalineUplands_SandyUplands_LoamyUplands_FinerUplands
Overflow (Foothills And Basins West),R034AY230WY,255,1105,340,0,1700,99,0,0,0,0,0,0,0,0,0,0,0,0,1260,0,Bottoms,Bottoms,Semiarid_Cool,Semiarid_Cool_Bottoms
Rocky Hills (Foothills And Basins West),R034AY234WY,95,428,428,0,950,23,0,0,0,0,0,0,0,0,0,0,0,0,608,0,DeepRocky,SalineHills,Semiarid_Cool,Semiarid_Cool_SalineHills
Saline Lowland (Foothills And Basins West),R034AY238WY,93,1018,740,0,1850,0,0,0,0,0,0,0,0,0,315,45,0,450,450,540,SalineBottoms,SalineBottoms,Semiarid_Cool,Semiarid_Cool_SalineBottoms
"Saline Lowland, Drained (Foothills And Basins West)",R034AY240WY,120,720,360,0,1200,0,0,0,0,0,0,0,0,0,195,130,0,33,618,98,SalineBottoms,SalineBottoms,Semiarid_Cool,Semiarid_Cool_SalineBottoms
Saline Subirrigated (Foothills And Basins West),R034AY242WY,295,2360,295,0,2950,0,0,0,0,0,0,0,0,0,225,0,0,1350,450,1800,SalineBottoms,Bottoms,Semiarid_Cool,Semiarid_Cool_Bottoms
Saline Upland (Foothills And Basins West),R034AY244WY,29,316,230,0,575,0,0,0,0,0,0,0,0,0,15,180,0,15,315,15,SalineUplands,SalineHills,Semiarid_Cool,Semiarid_Cool_SalineHills
Sands (Foothills And Basins West),R034AY246WY,195,780,325,0,1300,0,0,105,0,0,0,0,0,0,0,0,0,0,910,0,SandyUplands,SandyUplands,Semiarid_Cool,Semiarid_Cool_SalineUplands_SandyUplands_LoamyUplands_FinerUplands
Sandy (Foothills And Basins West),R034AY250WY,110,770,220,0,1100,120,0,0,0,0,0,0,0,0,0,0,0,0,810,0,LoamyUplands,LoamyUplands,Semiarid_Cool,Semiarid_Cool_SalineUplands_SandyUplands_LoamyUplands_FinerUplands
Shallow Breaks (Foothills And Basins West),R034AY256WY,115,575,115,345,1150,90,0,0,0,0,0,360,0,0,0,0,0,0,756,0,Shallow,SalineUplands,Semiarid_Cool,Semiarid_Cool_SalineUplands_SandyUplands_LoamyUplands_FinerUplands
Shallow Clayey (Foothills And Basins West),R034AY258WY,38,563,150,0,750,0,0,0,0,0,0,0,0,0,0,19,0,0,460,0,Shallow,SalineUplands,Semiarid_Cool,Semiarid_Cool_SalineUplands_SandyUplands_LoamyUplands_FinerUplands
Shallow Loamy (Foothills And Basins West),R034AY262WY,95,713,143,0,950,68,0,0,0,0,0,0,0,0,0,0,0,0,653,0,Shallow,FinerUplands,Semiarid_Cool,Semiarid_Cool_SalineUplands_SandyUplands_LoamyUplands_FinerUplands
Alkali Bottom (Alkali sacaton),R034BY002UT,86,1276,340,0,1701,0,0,0,0,0,0,0,0,0,134,54,0,490,241,623,SalineBottoms,SalineBottoms,Arid_Warm,Arid_Warm_SalineBottoms_Bottoms
Alkali Flat (Greasewood),R034BY006UT,76,376,300,0,751,0,0,0,0,0,0,0,0,0,210,53,0,88,168,144,SalineBottoms,SalineBottoms,Arid_Warm,Arid_Warm_SalineBottoms_Bottoms
Sandy Bottom (Fourwing salbush),R034BY012UT,47,278,139,0,463,0,0,0,0,0,0,0,0,0,0,0,9,0,191,23,SandyBottoms,SandyBottoms,Arid_Warm,Arid_Warm_SandyBottoms
Wet Saline Meadow (Inland saltgrass),R034BY024UT,145,1233,73,0,1451,0,0,0,0,0,0,0,0,0,23,0,0,300,0,675,SalineBottoms,SalineBottoms,Arid_Warm,Arid_Warm_SalineBottoms_Bottoms
Desert Alkali Bench (Castlevalley saltbush),R034BY101UT,31,77,200,0,308,0,0,0,0,0,0,0,0,0,8,70,90,6,42,12,SalineHills,SalineHills,Arid_Warm,Arid_Warm_SalineHills
Desert Clay (Shadscale),R034BY104UT,13,86,147,0,246,0,0,0,0,0,0,0,0,0,0,11,83,0,84,0,SalineHills,SalineUplands,Arid_Warm,Arid_Warm_SalineUplands
Desert Loam (Shadscale),R034BY106UT,48,214,214,0,476,0,0,0,0,0,0,0,0,0,0,0,88,0,158,10,SalineUplands,FinerUplands,Arid_Warm,Arid_Warm_FinerUplands_ClayUplands
Desert Loamy Clay (Shadscale),R034BY109UT,38,88,125,0,250,0,0,0,0,0,0,0,0,0,0,23,90,0,50,12,SalineHills,SalineHills,Arid_Warm,Arid_Warm_SalineHills
Desert Sandy Loam (Indian Ricegrass),R034BY115UT,75,275,151,0,501,0,0,0,0,0,0,0,0,0,0,0,42,12,161,46,LoamyUplands,FinerUplands,Arid_Warm,Arid_Warm_FinerUplands_ClayUplands
Desert Shallow Clay (Mat Saltbush),R034BY117UT,23,34,169,0,226,0,0,0,0,0,0,0,0,0,0,138,8,0,12,0,SalineHills,Shallow,Arid_Warm,Arid_Warm_Shallow
Desert Shallow Loam (Black Sagebrush),R034BY118UT,31,105,165,0,301,0,0,0,0,0,0,0,0,0,0,0,27,0,44,0,Shallow,VeryShallow,Semiarid_Warm,Semiarid_Warm_VeryShallow
Desert Shallow Loam (Shadscale),R034BY121UT,33,98,195,0,326,0,0,0,0,0,0,0,0,0,0,11,90,0,35,12,SalineUplands,SalineHills,Semiarid_Warm,Semiarid_Warm_SalineHills
Desert Shaley Shallow Loam (Spiny greasebush),R034BY131UT,7,17,41,0,65,3,0,0,0,0,0,0,0,0,0,0,7,0,10,2,Breaks,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Semidesert Gravelly Sandy Loam (Wyoming Big Sagebrush),R034BY206UT,77,130,254,0,461,128,0,0,0,0,0,0,0,0,16,0,19,0,63,32,FinerUplands,SalineUplands,Semiarid_Warm,Semiarid_Warm_SalineUplands
Semidesert Loam (Wyoming Big Sagebrush),R034BY212UT,120,344,325,0,789,150,0,0,0,0,0,0,0,0,0,0,15,0,225,30,FinerUplands,LoamyUplands,Semiarid_Warm,Semiarid_Warm_SandyUplands_LoamyUplands
Semidesert Sand (Fourwing Saltbush),R034BY214UT,46,248,158,0,451,15,0,0,0,0,0,0,0,0,0,0,0,0,163,30,SandyUplands,SandyUplands,Semiarid_Warm,Semiarid_Warm_SandyUplands_LoamyUplands
Semidesert Sandy Loam (Fourwing Saltbush),R034BY216UT,30,360,210,0,600,22,0,0,0,0,0,0,0,0,0,0,10,0,316,19,LoamyUplands,LoamyUplands,Semiarid_Warm,Semiarid_Warm_SandyUplands_LoamyUplands
Semidesert Shallow Clay (Utah Juniper),R034BY221UT,105,315,79,27,525,0,0,0,0,0,23,23,0,0,0,0,97,0,76,17,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Semidesert Shallow Loam (Black Sagebrush),R034BY227UT,38,131,206,0,375,0,0,0,0,0,0,0,0,0,0,0,14,0,74,30,Shallow,DeepRocky,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Semidesert Shallow Loam (Utah Juniper-Pinyon),R034BY233UT,14,83,138,28,263,9,0,0,0,0,12,12,0,0,0,0,9,0,54,6,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Semidesert Silt Loam (Winterfat),R034BY240UT,61,181,360,0,601,18,0,0,0,0,0,0,0,0,9,0,9,0,150,12,FinerUplands,FinerUplands,Semiarid_Warm,Semiarid_Warm_FinerUplands
Semidesert Stony Loam (Utah Juniper-Pinyon),R034BY247UT,24,214,214,48,500,17,0,0,0,0,23,23,0,0,0,0,17,0,109,12,DeepRocky,DeepRocky,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Semidesert Very Steep Shallow Loam (Utah Juniper-Pinyon),R034BY259UT,9,83,114,9,215,9,0,0,0,0,12,12,0,0,0,0,9,0,54,6,Breaks,Breaks,Semiarid_Warm,Semiarid_Warm_Breaks
Upland Very Steep Stony Loam (Pinyon-Utah Juniper),R034BY344UT,55,220,275,0,550,0,0,12,0,0,81,24,0,0,0,0,0,0,177,12,Breaks,DeepRocky,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
"Breaks 10-14\ p.z. (Provisional)""",R035XA101AZ,45,360,120,98,623,0,0,0,0,0,43,63,0,0,0,0,0,20,67,368,Shallow,DeepRocky,Arid_Warm,Arid_Warm_DeepRocky
"Cinder Hills 10-14\ p.z. (Provisional)""",R035XA102AZ,0,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Breaks,DeepRocky,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
"Clay Loam Wash 10-14\ p.z.""",R035XA104AZ,175,1500,325,0,2000,0,0,0,0,0,0,0,0,0,10,0,20,600,513,1447,Bottoms,Bottoms,Semiarid_Warm,Semiarid_Warm_SandyBottoms_Bottoms
"Clayey Upland 10-14\ p.z.""",R035XA106AZ,25,475,93,8,600,0,0,0,0,0,0,8,0,0,0,0,0,98,164,478,VerticUplands,ClayUplands,Semiarid_Warm,Semiarid_Warm_ClayUplands
"Clay Loam Upland 10-14\ p.z.""",R035XA107AZ,23,440,70,38,570,0,0,0,0,0,0,38,0,0,0,0,0,58,63,358,VerticUplands,ClayUplands,Semiarid_Warm,Semiarid_Warm_ClayUplands
"Limy Upland 10-14\ p.z.""",R035XA111AZ,25,425,141,5,596,0,0,0,0,0,0,5,0,0,0,0,0,0,41,346,LoamyUplands,DeepRocky,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
"Loamy Wash 10-14\ p.z.""",R035XA112AZ,45,1088,330,0,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,585,653,Bottoms,Bottoms,Semiarid_Warm,Semiarid_Warm_SandyBottoms_Bottoms
Loamy,R035XA112NM,53,530,0,0,583,0,0,0,0,0,0,0,0,0,0,0,0,20,199,350,LoamyUplands,FinerUplands,Semiarid_Warm,Semiarid_Warm_FinerUplands
"Loamy Upland 10-14\ p.z. (Provisional)""",R035XA113AZ,20,390,175,20,605,0,0,0,0,0,0,13,0,0,0,0,0,0,125,348,LoamyUplands,FinerUplands,Semiarid_Warm,Semiarid_Warm_FinerUplands
Sandy,R035XA113NM,47,470,0,0,517,0,0,0,0,0,0,0,0,0,0,0,0,0,235,403,SandyUplands,LoamyUplands,Semiarid_Warm,Semiarid_Warm_SandyUplands_LoamyUplands
"Sandstone Upland 10-14\ p.z.""",R035XA115AZ,40,348,83,30,500,0,0,0,0,0,13,25,0,0,0,0,0,5,63,350,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Deep Sand,R035XA115NM,71,470,0,0,541,0,0,0,0,0,0,0,0,0,0,0,0,0,308,399,SandyUplands,SandyUplands,Semiarid_Warm,Semiarid_Warm_SandyUplands_LoamyUplands
"Sandy Loam Upland 10-14\ p.z.""",R035XA117AZ,55,525,113,18,710,0,0,0,0,0,10,10,0,0,0,0,0,50,63,493,LoamyUplands,LoamyUplands,Arid_Warm,Arid_Warm_SandyUplands_LoamyUplands
Cinder,R035XA117NM,49,521,0,0,570,0,0,0,0,0,9,9,0,0,0,0,0,0,245,500,LoamyUplands,DeepRocky,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
"Sandy Upland 10-14\ p.z.""",R035XA118AZ,18,368,78,38,500,0,0,0,0,0,13,13,0,0,0,0,0,33,128,183,SandyUplands,SandyUplands,Arid_Warm,Arid_Warm_SandyUplands_LoamyUplands
Bottomland,R035XA118NM,63,1890,0,0,1953,0,0,0,0,0,0,0,0,0,0,0,0,735,588,1817,Bottoms,SandyBottoms,Semiarid_Warm,Semiarid_Warm_SandyBottoms_Bottoms
"Shallow Loamy 10-14\ p.z.""",R035XA119AZ,50,480,98,23,650,0,0,0,0,0,5,20,0,0,0,0,0,5,88,263,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Clayey Bottomland,R035XA119NM,134,1892,0,0,2025,0,0,0,0,0,0,0,0,0,0,0,0,167,935,1303,Bottoms,SalineBottoms,Semiarid_Warm,Semiarid_Warm_SalineBottoms
Swale  ,R035XA120NM,98,780,0,0,878,0,0,0,0,0,0,0,0,0,0,0,0,98,478,920,Bottoms,Bottoms,Semiarid_Warm,Semiarid_Warm_SandyBottoms_Bottoms
"Limy Upland 10-14\ p.z. Shallow""",R035XA125AZ,16,385,103,13,516,0,0,0,0,0,0,9,0,0,0,0,0,0,26,297,Shallow,DeepRocky,Arid_Warm,Arid_Warm_DeepRocky
Salt Flats,R035XA126NM,33,875,153,0,1060,0,0,0,0,0,0,0,0,0,57,0,57,513,77,1384,SalineBottoms,SalineBottoms,Semiarid_Warm,Semiarid_Warm_SalineBottoms
Clayey,R035XA128NM,75,750,100,0,925,0,0,0,0,0,0,0,0,0,0,0,0,225,310,795,VerticUplands,ClayUplands,Semiarid_Warm,Semiarid_Warm_ClayUplands
"Shale Hills 10-14\p.z. (Provisional)""",R035XA130NM,14,387,23,0,424,0,0,0,0,0,12,12,0,0,0,0,0,183,0,362,Shallow,SalineUplands,Arid_Warm,Arid_Warm_SalineUplands
Foothills,R035XA131NM,17,411,0,0,428,0,0,0,0,0,42,42,0,0,0,0,0,0,59,600,LoamyUplands,ClayUplands,Semiarid_Warm,Semiarid_Warm_ClayUplands
Loamy ,R035XB001NM,83,385,0,0,468,56,0,0,0,0,0,0,0,0,0,0,0,31,188,248,LoamyUplands,SalineUplands,Semiarid_Warm,Semiarid_Warm_SalineUplands
Sandy,R035XB002NM,60,420,0,0,480,33,0,0,0,0,0,0,0,0,0,0,0,45,204,438,LoamyUplands,SalineUplands,Arid_Warm,Arid_Warm_SalineUplands
Limy,R035XB003NM,68,293,0,0,360,19,0,0,0,0,0,0,0,0,0,0,0,57,181,193,LoamyUplands,SalineUplands,Arid_Warm,Arid_Warm_SalineUplands
Clayey,R035XB004NM,100,350,0,0,450,20,0,0,0,0,0,0,0,0,0,0,0,63,80,208,VerticUplands,SalineUplands,Semiarid_Warm,Semiarid_Warm_SalineUplands
Salt Flats,R035XB005NM,70,420,0,0,490,28,0,0,0,0,0,0,0,0,53,0,53,158,151,476,SalineBottoms,SalineBottoms,Arid_Warm,Arid_Warm_SalineBottoms_Bottoms
Shallow,R035XB006NM,38,282,57,0,376,15,0,0,0,0,0,0,0,0,0,0,0,29,128,119,Shallow,Shallow,Arid_Warm,Arid_Warm_Shallow
